Isolo Express Shop,Lagos,"1A, Olabode Street, Ajao Estate, Off MM International Airport Road, Lagos.",Lagos Hub
Computer Village Express Shop,Lagos,"3A, Simbiat Abiola Street, Ikeja, Lagos.",Lagos Hub
Allen Express Shop,Lagos,"60, Allen Avenue, Ikeja, Lagos.",Lagos Hub
"Victoria Island Express Shop, Sanusi Fafunwa",Lagos,"5, Sanusi Fafunwa Street, Victoria Island, Lagos.",Lagos Hub
Surulere Express Shop,Lagos,"84, Adeniran Ogunsanya Street, Surulere, Lagos.",Lagos Hub
Ikoyi Express Shop,Lagos,"Maku Oyogoa House 109, Awolowo Road by Lagos Polo Club, South West Ikoyi, Lagos.",Lagos Hub
Victoria Island Table Shop,Lagos,"251, Muri Okunola Street, Victoria Island, Lagos.",Lagos Hub
Yaba Express Shop,Lagos,"373, Herbert Macaulay Way, Yaba, Lagos.",Lagos Hub
"Victoria Island Express Shop, Idowu Martins",Lagos,"23, Idowu Martins Street, Victoria Island, Lagos.",Lagos Hub
"Lagos Agency, Simpson",Lagos,"Kanzul -Gina International Limited Block A2-12 suite 333 sura shopping complex, simpson street Lagos Island",Lagos Hub
"Lagos Agency, Igbosere",Lagos,"Classic Shelter Services, 145, Igbosere Road, Lagos Island",Lagos Hub
"Lagos Agency, Femmirate Travels",Lagos,"Femmirate Travels 29, Lagos Road, Ikorodu Lagos.",Lagos Hub
"Lagos Agency, Apapa",Lagos,"Info-Drive Systems Limited No. 4, Kofo Abayomi Drive, Apapa, Lagos",Lagos Hub
"Lagos Agency, Ajah",Lagos,"Golden Tours, Suite C.260, Ikota Shopping Complex, VGC Ajah, Lagos.",Lagos Hub
"Lagos Agency, Sango Ota",Lagos,"Cashworth Supermarket & Business Centre, Obaniboashiri Shopping Complex, Sango Ota.",Lagos Hub
"Lagos Agency, Oshodi",Lagos,"O.K. Star 7/8, Bus Stop, Oshodi Expressway, Lagos.",Lagos Hub
"Lagos Agency, LASU Ojoo",Lagos,Lagos State University,Lagos Hub
"Lagos Agency, Ojota",Lagos,"Lajhegde Enterprises Block 17, Suite 2, Odu'a Shopping Complex,Ojota.",Lagos Hub
"Lagos Agency, Ajah2",Lagos,"DOMINION ICT, Irish Garden Plaza, Sideboard bus stop along Addo road, Ajah, Lekki. ",Lagos Hub
"Lagos Agency, Sura",Lagos,"The King's Limited. Block 11, Suite 20/21, Sura Shopping Complex, Simpson Street, Lagos Island, Lagos.",Lagos Hub
"Lagos Agency, Ogba",Lagos,"Almamata Nig. Ltd. 34, Ijaiye Road, Ogba, Ikeja, Lagos.",Lagos Hub
"Lagos Agency, Ikeja",Lagos,"Jomoten Services 18, Amore Street, Off Toyin Street, Ikeja, Lagos.",Lagos Hub
"Lagos Agency, Lekki",Lagos,"Alexia Beauty Therapy, Shop A2A Oniru New Market, Alternative Route, Lekki Phase 1, Lagos.",Lagos Hub
"Lagos Agency, Dolphin Estate",Lagos,"Suite 33, Dolphin Plaza, Dolphin Estate, Ikoyi, Lagos.",Lagos Hub
"Lagos Agency, TBS",Lagos,"Efe & Efe Nig. Ltd. Suite 25, Tafawa Balewa Square, West Wing Pavillion, Race Course, Lagos.",Lagos Hub
"Lagos Agency, Amzee Ventures",Lagos,"Amzee Ventures, Itamaja Bus Stop, Ikorodu. Lagos",Lagos Hub
"Lagos Agency, Oregun",Lagos,"Adefola Ventures, 70, Kudirat Abiola Way, Oregun,Lagos.",Lagos Hub
PH Express Shop,Rivers,"Suite 102, Admiralty House, No. 99 Olu Obasanjo Road, PHC, Rivers.",PH Hub
Aba Express Shop,Abia,28 Aba/Owerri road,Aba Hub
Benin Express Shop,Edo,"57 & 59 Airport Road, Benin City",Benin Hub
Warri Express Shop,Delta,"Block B, Shop 40, Iye Plaza, 324 KM 4 Refinery Road, Effurun",Warri Hub
Yenugoa Express Shop,Bayelsa,,PH Hub
Umuahia Express Shop,Abia,,Aba Hub
Uyo Express Shop,Akwa Ibom,"39, Barracks Road, Uyo.",Uyo Hub
Enugu Express Shop,Enugu,"162, Ogui Road, Enugu",Enugu Hub
Onitsha Express Shop,Anambra,"79,Old market Road, Onitsha",Onitsha Hub
Owerri Express Shop,Imo,"115, Weatheral Road",Owerri Hub
Calabar Express Shop,Cross River,26 Marian Road Calabar,Calabar Hub
Abakaliki Agency,Ebonyi,"7, Afikpo Road, Abakaliki, Ebonyi State",Enugu Hub
Afikpo Agency,Ebonyi,"Phantom Microsystem Limited 62/68 Shop, Akanu Ibiam Federal Polytechnic Uwana Afikpo, Ebonyi State.",Enugu Hub
Portharcourt Agency,Rivers,"Micky Computers, Delta Park, Beside Staff Club University of  Port Harcourt",PH Hub
"Ibadan Express Shop, Ring Road",Oyo,"1st floor, Omoo House beside Cornerstone Insurance, by oni & sons bus stop, ring road",Ibadan Hub
Ibadan Table Shop,Oyo,"Favors building Bodija, Ibadan",Ibadan Hub
"Ibaban Express Shop, Teju hospital",Oyo,"teju hospital shopping complex, ring road, Ibadan",Ibadan Hub
"Ibadan Agency, Adamasingba",Oyo,"45, Ayorinde Street, Beside Adamasingba Staduim, Ekotedo,Ibadan","Ibadan Hub"
"Ibadan Agency, Challenge",Oyo,"22,Oyo Road,Opposite Sango Police Station, Sango, IBADAN","Ibadan Hub"
"Ibadan Agency, Sango",Oyo,"Ademola Ventures, in-care-of G-Banner Ltd, Beside Texaco Filling Station,Challenge,Ibadan","Ibadan Hub"
Ilorin Express Shop,Kwara,"Taiwo Road, Opposite Primo Shopping Complex, Ilorin",Ilorin Hub
Akure Express Shop,Ondo,"No 34B, Oba Adesida Road,Akure",Akure Hub
Osogbo Express Centre,Osun,"62, Lailad Complex Odiolowo Oshogbo Opposte Yetty mama Resturant Oshogbo, ",Osogbo Hub
"Abeokuta Agency, Isabo",Ogun,"58, NUD Road, Isabo,Abeokuta",Abeokuta Hub
"Abeokuta Agency, Okeilewo",Ogun,"18 Lalubu Street, Okeilewo",Abeokuta Hub
Abeokuta Express Shop,Ogun,"22, Quarry Road, Abeokuta",Abeokuta Hub
Ado Ekiti Express Shop,Ekiti,"CAC Plaza, Opposite Fayose Computer Market, Ado-Ekiti",Ado Ekiti Hub
Abuja Express Shop,FCT,"19 Nouakchott Street, off Olusegun Obasanjo Way, Wuse Zone 1,Abuja.",Abuja Hub
"Abuja Agency, Obasanjo Way",FCT,"Doja Line Ventures, Suite A35, Danzyal Plaza, CBD, Opp. NNPC Mega Filling Station Obasanjo Way, Abuja",Abuja Hub
"Abuja Agency, Wuse Zone 5",FCT,"Silver Roof Multi Concept & Projects Ltd. Maidabino Plaza SF5, 2nd Floor, Opp. Ibro Hotel, Zone 5, Wuse, Abuja.",Abuja Hub
Kaduna Express Shop,Kaduna,"A3,Ahmadu bello Way, Kaduna",Kaduna Hub
Maiduguri Express Shop,Borno,"Ibrahim Kashim Way, Maiduguri",Maiduguri Hub
Lokoja Express Shop,Kogi,,Abuja Hub
Gusau Express Shop,Zamfara,"170, Sanni Abacha Way Gusau.",Gusau Hub
Kano Express Shop,Kano,"7c, Muritala Mohammed Way, Kano",Kano Hub
Jos Express Shop,Plateau,"41, Yakubu Gowon Way, Jos",Jos Hub
Yola Express Centre,Adamawa,"7, Jimba Road, Opposite Dan Kano, Opposite crescent Car wash. Yola",Yola Hub
Gombe Express Shop,Gombe,"Gombe State Investment Shopping Complex, Sabo Line, Gombe.",Gombe Hub
Sokoto Express Centre,Sokoto,"11 Ahmadu Bello Way, Opposite Savannah Bank.",Sokoto Hub
Bauchi Express Shop,Bauchi,"Shop 74, Mustapha Katung  Shopping Complex, Amadu Bello Way, Bauchi",Bauchi Hub
Markurdi Table Shop,Benue,"Ebony Theatre Troupe Offcie Complex, 1 Ibn Anyamkegh Street High, Makurdi, Benue State.",Markurdi Hub
Markurdi Konga Shop,Benue,"No. 75, Iyorchia Ayu Road,Opp. Nobis Wurukum, Makurdi, Benue State",Markurdi Hub
Minna Express Shop,Niger,"Shop G4, Awwal Ibrahim Shopping Complex, Opp. Abdulsalami Abubakar Garrage Farm Centre, Tunga, Minna, Niger State.",Minna Hub
Suleja Agency,FCT,"Choice Unique Universal Ltd. Beside First, Inside Glo Office, Minna Road, Suleja.",Abuja Hub
"Abuja Agency, Kubwa",FCT,"Preda Resources, 62, Gado Nasko Road, Opposite Veteran Plaza, 2/1, Kubwa, Abuja",Abuja Hub
"Abuja Agency, Zuba",FCT,"Shop No. F7, Business Centre, FCT College of Education Campus, Zuba, Abuja.",Abuja Hub
"Abuja Agency, Airport Road",FCT,"SHOP NO A05, Mini Market, Nigerian Immigration Services, Airport Road, Sauka, FCT-ABUJA",Abuja Hub
"Abuja Agency, Zuba",Plateau,"O. M. Wine and Juice Shop, No. 2, Vom Junction, Anguldi, Zawan, Jos South. ",Jos Hub